703166,-0.053,0.000,0.123,-0.336,-0.058
703255,-0.053,0.000,0.129,-0.284,-0.040
703260,-0.053,0.000,0.229,-0.284,-0.040
703265,-0.053,0.000,0.234,-0.284,-0.040
703353,-0.053,0.000,0.240,-0.279,-0.073
703358,-0.053,0.000,0.344,-0.279,-0.073
703364,-0.053,0.000,0.348,-0.279,-0.073
703453,-0.053,0.000,0.355,-0.307,-0.037
703458,-0.053,0.000,0.457,-0.307,-0.037
703463,-0.053,0.000,0.463,-0.307,-0.037
703551,-0.053,0.000,0.469,-0.326,-0.032
703556,-0.053,0.000,0.570,-0.326,-0.032
703561,-0.053,0.000,0.576,-0.326,-0.032
703650,-0.053,0.000,0.582,-0.293,-0.022
703655,-0.053,0.000,0.682,-0.293,-0.022
703661,-0.053,0.000,0.687,-0.293,-0.022
703749,-0.053,0.000,0.693,-0.280,-0.034
703754,-0.053,0.000,0.766,-0.280,-0.034
703759,-0.053,0.000,0.770,-0.280,-0.034
703848,-0.053,0.000,0.771,-0.233,0.503
703853,-0.023,0.000,0.779,-0.233,0.503
703857,-0.020,0.000,0.779,-0.233,0.503
703946,-0.018,0.000,0.779,-0.232,1.969
703951,0.027,0.000,0.779,-0.232,1.969
703956,0.029,0.000,0.779,-0.232,1.969
704046,0.031,0.000,0.779,3.760,-2.965
704051,0.076,0.000,0.779,3.760,-2.965
704055,0.080,0.000,0.779,3.760,-2.965
704144,0.082,0.000,0.779,2.222,-9.118
704149,0.125,0.000,0.779,2.222,-9.118
704154,0.127,0.000,0.779,2.222,-9.118
704243,0.129,0.000,0.779,0.539,-11.029
704248,0.178,0.000,0.779,0.539,-11.029
704252,0.182,0.000,0.779,0.539,-11.029
704342,0.184,0.000,0.779,0.890,-11.007
704347,0.227,0.000,0.779,0.890,-11.007
704352,0.229,0.000,0.779,0.890,-11.007
704441,0.230,0.000,0.779,1.392,-10.668
704446,0.246,0.000,0.762,1.392,-10.668
704450,0.246,0.000,0.758,1.392,-10.668
704539,0.246,0.000,0.754,1.578,-10.059
704544,0.246,0.000,0.664,1.578,-10.059
704549,0.246,0.000,0.660,1.578,-10.059
704638,0.246,0.000,0.654,2.036,-7.501
704643,0.246,0.000,0.553,2.036,-7.501
704648,0.246,0.000,0.547,2.036,-7.501
704737,0.246,0.000,0.541,2.068,-2.278
704742,0.246,0.000,0.439,2.068,-2.278
704747,0.246,0.000,0.434,2.068,-2.278
704836,0.246,0.000,0.428,-0.134,-0.102
704840,0.246,0.000,0.324,-0.134,-0.102
704845,0.246,0.000,0.318,-0.134,-0.102
704934,0.246,0.000,0.312,-0.321,-0.039
704940,0.246,0.000,0.211,-0.321,-0.039
704945,0.246,0.000,0.207,-0.321,-0.039
705034,0.246,0.000,0.201,-0.304,-0.028
705038,0.246,0.000,0.109,-0.304,-0.028
705043,0.246,0.000,0.105,-0.304,-0.028
705132,0.246,0.000,0.102,-0.250,-0.044
705137,0.246,0.000,0.068,-0.250,-0.044
705142,0.246,0.000,0.066,-0.250,-0.044
705230,0.246,0.000,0.066,-0.250,-0.020
705235,0.246,0.000,0.086,-0.250,-0.020
705241,0.246,0.000,0.088,-0.250,-0.020
705330,0.246,0.000,0.092,-0.296,-0.057
705335,0.246,0.000,0.180,-0.296,-0.057
705340,0.246,0.000,0.184,-0.296,-0.057
705428,0.246,0.000,0.189,-0.321,-0.039
705433,0.246,0.000,0.293,-0.321,-0.039
705438,0.246,0.000,0.299,-0.321,-0.039
705527,0.246,0.000,0.305,-0.294,-0.061
705532,0.246,0.000,0.406,-0.294,-0.061
705537,0.246,0.000,0.412,-0.294,-0.061
705626,0.246,0.000,0.418,-0.295,-0.048
705631,0.246,0.000,0.520,-0.295,-0.048
705636,0.246,0.000,0.525,-0.295,-0.048
705725,0.246,0.000,0.531,-0.272,-0.039
705730,0.246,0.000,0.633,-0.272,-0.039
705734,0.246,0.000,0.639,-0.272,-0.039
